university_name,faculty_name,department_name
東京科学大学,保健衛生学研究科,共同災害看護学専攻
東京科学大学,保健衛生学研究科,看護先進科学専攻
東京科学大学,医歯学総合研究科,東京医科歯科大学・チュラロンコーン大学国際連携歯学系専攻
東京科学大学,医歯学総合研究科,東京医科歯科大学・チリ大学国際連携医学系専攻
東京科学大学,医歯学総合研究科,生命理工医療科学専攻
東京科学大学,医歯学総合研究科,医歯学専攻
東京科学大学,医歯学総合研究科,医歯理工保健学専攻
東京科学大学,医歯学総合研究科,東京医科歯科大学・マヒドン大学国際連携医学系専攻
東京科学大学,環境・社会理工学院,技術経営専門職学位課程
東京科学大学,環境・社会理工学院,建築学系
東京科学大学,環境・社会理工学院,土木・環境工学系
東京科学大学,環境・社会理工学院,融合理工学系
東京科学大学,環境・社会理工学院,イノベーション科学系
東京科学大学,環境・社会理工学院,社会・人間科学系
東京科学大学,生命理工学院,生命理工学系
東京科学大学,物質理工学院,材料系
東京科学大学,物質理工学院,応用化学系
東京科学大学,理学院,物理学系
東京科学大学,理学院,地球惑星科学系
東京科学大学,理学院,化学系
東京科学大学,理学院,数学系
東京科学大学,工学院,経営工学系
東京科学大学,工学院,情報通信系
東京科学大学,工学院,システム制御系
東京科学大学,工学院,機械系
東京科学大学,工学院,電気電子系
東京科学大学,情報理工学院,情報工学系
東京科学大学,情報理工学院,数理・計算科学系
東京大学,新領域創成科学研究科,自然環境学専攻
東京大学,新領域創成科学研究科,社会文化環境学専攻
東京大学,新領域創成科学研究科,海洋技術環境学専攻
東京大学,新領域創成科学研究科,メディカル情報生命専攻
東京大学,新領域創成科学研究科,メディカルゲノム専攻
東京大学,新領域創成科学研究科,国際協力学専攻
東京大学,新領域創成科学研究科,人間環境学専攻
東京大学,新領域創成科学研究科,先端エネルギー工学専攻
東京大学,新領域創成科学研究科,先端生命科学専攻
東京大学,新領域創成科学研究科,複雑理工学専攻
東京大学,新領域創成科学研究科,物質系専攻
東京大学,新領域創成科学研究科,環境システム学専攻
東京大学,医学系研究科,公共健康医学専攻
東京大学,医学系研究科,医科学専攻
東京大学,医学系研究科,外科学専攻
東京大学,医学系研究科,機能生物学専攻
東京大学,医学系研究科,健康科学・看護学専攻
東京大学,医学系研究科,国際保健学専攻
東京大学,医学系研究科,社会医学専攻
東京大学,医学系研究科,生殖・発達・加齢医学専攻
東京大学,医学系研究科,生体物理医学専攻
東京大学,医学系研究科,内科学専攻
東京大学,医学系研究科,脳神経医学専攻
東京大学,医学系研究科,病因・病理学専攻
東京大学,医学系研究科,分子細胞生物学専攻
東京大学,教育学研究科,学校教育高度化専攻
東京大学,教育学研究科,総合教育科学専攻
東京大学,経済学研究科,経済専攻
東京大学,経済学研究科,マネジメント専攻
東京大学,工学系研究科,技術経営戦略学専攻
東京大学,工学系研究科,システム創成学専攻
東京大学,工学系研究科,社会基盤学専攻
東京大学,工学系研究科,原子力専攻
東京大学,工学系研究科,原子力国際専攻
東京大学,工学系研究科,応用化学専攻
東京大学,工学系研究科,化学システム工学専攻
東京大学,工学系研究科,化学生命工学専攻
東京大学,工学系研究科,機械工学専攻
東京大学,工学系研究科,建築学専攻
東京大学,工学系研究科,航空宇宙工学専攻
東京大学,工学系研究科,精密工学専攻
東京大学,工学系研究科,先端学際工学専攻
東京大学,工学系研究科,電気系工学専攻
東京大学,工学系研究科,都市工学専攻
東京大学,工学系研究科,物理工学専攻
東京大学,工学系研究科,マテリアル工学専攻
東京大学,工学系研究科,バイオエンジニアリング専攻
東京大学,人文社会系研究科,アジア文化研究専攻
東京大学,人文社会系研究科,欧米系文化研究専攻
東京大学,人文社会系研究科,基礎文化研究専攻
東京大学,人文社会系研究科,社会文化研究専攻
東京大学,人文社会系研究科,日本文化研究専攻
東京大学,人文社会系研究科,文化資源学研究専攻
東京大学,人文社会系研究科,韓国朝鮮文化研究専攻
東京大学,数理科学研究科,数理科学専攻
東京大学,総合文化研究科,言語情報科学専攻
東京大学,総合文化研究科,広域科学専攻
東京大学,総合文化研究科,国際社会科学専攻
東京大学,総合文化研究科,地域文化研究専攻
東京大学,総合文化研究科,超域文化科学専攻
東京大学,農学生命科学研究科,応用生命化学専攻
東京大学,農学生命科学研究科,応用生命工学専攻
東京大学,農学生命科学研究科,応用動物科学専攻
東京大学,農学生命科学研究科,獣医学専攻
東京大学,農学生命科学研究科,森林科学専攻
東京大学,農学生命科学研究科,水圏生物科学専攻
東京大学,農学生命科学研究科,生産・環境生物学専攻
東京大学,農学生命科学研究科,生物・環境工学専攻
東京大学,農学生命科学研究科,生物材料科学専攻
東京大学,農学生命科学研究科,農学国際専攻
東京大学,農学生命科学研究科,農業・資源経済学専攻
東京大学,農学生命科学研究科,生圏システム学専攻
東京大学,法学政治学研究科,総合法政専攻
東京大学,法学政治学研究科,法曹養成専攻
東京大学,薬学系研究科,薬科学専攻
東京大学,薬学系研究科,薬学専攻
東京大学,理学系研究科,化学専攻
東京大学,理学系研究科,生物科学専攻
東京大学,理学系研究科,地球惑星科学専攻
東京大学,理学系研究科,天文学専攻
東京大学,理学系研究科,物理学専攻
東京大学,情報学環・学際情報学府,学際情報学専攻
東京大学,情報理工学系研究科,創造情報学専攻
東京大学,情報理工学系研究科,数理情報学専攻
東京大学,情報理工学系研究科,電子情報学専攻
東京大学,情報理工学系研究科,コンピュータ科学専攻
東京大学,情報理工学系研究科,システム情報学専攻
東京大学,情報理工学系研究科,知能機械情報学専攻
東京大学,公共政策学教育部,国際公共政策学専攻
東京大学,公共政策学教育部,公共政策学専攻
東京大学,学際情報学教育部,学際情報学専攻
東京大学,学際情報学府,学際情報学専攻
京都大学,アジア・アフリカ地域研究研究科,グローバル地域研究専攻
京都大学,アジア・アフリカ地域研究研究科,アフリカ地域研究専攻
京都大学,アジア・アフリカ地域研究研究科,東南アジア地域研究専攻
京都大学,エネルギー科学研究科,エネルギー応用科学専攻
京都大学,エネルギー科学研究科,エネルギー基礎科学専攻
京都大学,エネルギー科学研究科,エネルギー社会・環境科学専攻
京都大学,エネルギー科学研究科,エネルギー変換科学専攻
京都大学,医学研究科,人間健康科学系専攻
京都大学,医学研究科,京都大学・マギル大学ゲノム医学国際連携専攻
京都大学,医学研究科,医科学専攻
京都大学,医学研究科,医学専攻
京都大学,医学研究科,社会健康医学系専攻
京都大学,教育学研究科,教育学環専攻
京都大学,経済学研究科,経済学専攻
京都大学,経済学研究科,京都大学国際連携グローバル経済・地域創造専攻
京都大学,工学研究科,機械理工学専攻
京都大学,工学研究科,マイクロエンジニアリング専攻
京都大学,工学研究科,化学工学専攻
京都大学,工学研究科,建築学専攻
京都大学,工学研究科,原子核工学専攻
京都大学,工学研究科,航空宇宙工学専攻
京都大学,工学研究科,高分子化学専攻
京都大学,工学研究科,合成・生物化学専攻
京都大学,工学研究科,材料化学専攻
京都大学,工学研究科,材料工学専攻
京都大学,工学研究科,社会基盤工学専攻
京都大学,工学研究科,電気工学専攻
京都大学,工学研究科,電子工学専攻
京都大学,工学研究科,都市環境工学専攻
京都大学,工学研究科,物質エネルギー化学専攻
京都大学,工学研究科,分子工学専攻
京都大学,工学研究科,都市社会工学専攻
京都大学,情報学研究科,先端数理科学専攻
京都大学,情報学研究科,システム科学専攻
京都大学,情報学研究科,社会情報学専攻
京都大学,情報学研究科,情報学専攻
京都大学,情報学研究科,数理工学専攻
京都大学,情報学研究科,知能情報学専攻
京都大学,情報学研究科,通信情報システム専攻
京都大学,人間・環境学研究科,人間・環境学専攻　芸術文化講座
京都大学,人間・環境学研究科,人間・環境学専攻　人間・社会・思想講座
京都大学,人間・環境学研究科,人間・環境学専攻　言語科学講座
京都大学,人間・環境学研究科,人間・環境学専攻　共生世界講座
京都大学,人間・環境学研究科,人間・環境学専攻　東アジア文明講座
京都大学,人間・環境学研究科,人間・環境学専攻　地球・生命環境講座
京都大学,人間・環境学研究科,人間・環境学専攻　数理・情報科学講座
京都大学,人間・環境学研究科,人間・環境学専攻　文化・地域環境講座
京都大学,人間・環境学研究科,人間・環境学専攻　認知・行動・健康科学講座
京都大学,人間・環境学研究科,人間・環境学専攻　物質科学講座
京都大学,人間・環境学研究科,人間・環境学専攻
京都大学,人間・環境学研究科,共生人間学専攻
京都大学,人間・環境学研究科,共生文明学専攻
京都大学,人間・環境学研究科,相関環境学専攻
京都大学,生命科学研究科,高次生命科学専攻
京都大学,生命科学研究科,統合生命科学専攻
京都大学,農学研究科,応用生物科学専攻
京都大学,農学研究科,応用生命科学専攻
京都大学,農学研究科,森林科学専攻
京都大学,農学研究科,生物資源経済学専攻
京都大学,農学研究科,地域環境科学専攻
京都大学,農学研究科,農学専攻
京都大学,農学研究科,食品生物科学専攻
京都大学,文学研究科,京都大学・ハイデルベルク大学国際連携文化越境専攻
京都大学,文学研究科,現代文化学専攻
京都大学,文学研究科,行動文化学専攻
京都大学,文学研究科,思想文化学専攻
京都大学,文学研究科,文献文化学専攻
京都大学,文学研究科,歴史文化学専攻
京都大学,法学研究科,法政理論専攻
京都大学,法学研究科,法曹養成専攻
京都大学,薬学研究科,医薬創成情報科学専攻
京都大学,薬学研究科,薬科学専攻
京都大学,薬学研究科,薬学専攻
京都大学,薬学研究科,創発医薬科学専攻
京都大学,理学研究科,化学専攻
京都大学,理学研究科,数学・数理解析専攻
京都大学,理学研究科,生物科学専攻
京都大学,理学研究科,地球惑星科学専攻
京都大学,理学研究科,物理学・宇宙物理学専攻
京都大学,経営管理教育部,経営科学専攻
京都大学,経営管理教育部,経営管理専攻
京都大学,公共政策教育部,公共政策専攻
京都大学,地球環境学舎,地球環境学専攻
京都大学,地球環境学舎,環境マネジメント専攻
京都大学,総合生存学館,総合生存学専攻
筑波大学,グローバル教育院,ヒューマンバイオロジー学位プログラム
筑波大学,グローバル教育院,エンパワーメント情報学プログラム
筑波大学,グローバル教育院,ライフイノベーション学位プログラム
筑波大学,グローバル教育院,ヒューマニクス学位プログラム
筑波大学,理工情報生命学術院,国際連携持続環境科学専攻
筑波大学,理工情報生命学術院,数理物質科学研究群　応用理工学学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　ライフイノベーション　生物情報　学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群
筑波大学,理工情報生命学術院,生命地球科学研究群　生物資源科学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　ライフイノベーション　食料革新　学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　生命農学学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　情報理工学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　知能機能システム学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　リスク・レジリエンス工学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　環境科学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　ライフイノベーション　環境制御　学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　社会工学学位プログラム
筑波大学,理工情報生命学術院,数理物質科学研究群　国際マテリアルズイノベーション学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　生物学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　地球科学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　農学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　ライフイノベーション　生体分子材料　学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　エンパワーメント情報学プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　生命産業科学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　環境学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群　山岳科学学位プログラム
筑波大学,理工情報生命学術院,数理物質科学研究群　数学学位プログラム
筑波大学,理工情報生命学術院,数理物質科学研究群
筑波大学,理工情報生命学術院,システム情報工学研究群　サービス工学学位プログラム
筑波大学,理工情報生命学術院,数理物質科学研究群　化学学位プログラム
筑波大学,理工情報生命学術院,システム情報工学研究群　構造エネルギー工学学位プログラム
筑波大学,理工情報生命学術院,数理物質科学研究群　物理学学位プログラム
筑波大学,理工情報生命学術院,生命地球科学研究群
筑波大学,人文社会ビジネス科学学術院,国際経営プロフェッショナル専攻
筑波大学,人文社会ビジネス科学学術院,法曹専攻
筑波大学,人文社会ビジネス科学学術院,ビジネス科学研究群
筑波大学,人文社会ビジネス科学学術院,人文社会科学研究群
筑波大学,人間総合科学学術院,大学体育スポーツ高度化共同専攻
筑波大学,人間総合科学学術院,スポーツ国際開発学共同専攻
筑波大学,人間総合科学学術院,国際連携食料健康科学専攻
筑波大学,人間総合科学学術院,人間総合科学研究群
筑波大学,人間総合科学学術院,教育学学位プログラム
東北大学,医学系研究科,公衆衛生学専攻
東北大学,医学系研究科,医科学専攻
東北大学,医学系研究科,障害科学専攻
東北大学,医学系研究科,保健学専攻
東北大学,医工学研究科,医工学専攻
東北大学,環境科学研究科,先進社会環境学専攻
東北大学,環境科学研究科,先端環境創成学専攻
東北大学,環境科学研究科,環境科学専攻
東北大学,教育学研究科,総合教育科学専攻
東北大学,教育学研究科,教育設計評価専攻
東北大学,経済学研究科,会計専門職専攻
東北大学,経済学研究科,経済経営学専攻
東北大学,工学研究科,電気エネルギーシステム専攻
東北大学,工学研究科,ロボティクス専攻
東北大学,工学研究科,ファインメカニクス専攻
東北大学,工学研究科,機械機能創成専攻
東北大学,工学研究科,バイオ工学専攻
東北大学,工学研究科,金属フロンティア工学専攻
東北大学,工学研究科,材料システム工学専攻
東北大学,工学研究科,知能デバイス材料学専攻
東北大学,工学研究科,応用化学専攻
東北大学,工学研究科,応用物理学専攻
東北大学,工学研究科,化学工学専攻
東北大学,工学研究科,航空宇宙工学専攻
東北大学,工学研究科,通信工学専攻
東北大学,工学研究科,電子工学専攻
東北大学,工学研究科,都市・建築学専攻
東北大学,工学研究科,土木工学専攻
東北大学,工学研究科,量子エネルギー工学専攻
東北大学,工学研究科,技術社会システム専攻
東北大学,国際文化研究科,国際地域文化論専攻
東北大学,国際文化研究科,国際文化研究専攻
東北大学,国際文化研究科,国際文化交流論専攻
東北大学,国際文化研究科,国際文化言語論専攻
東北大学,歯学研究科,歯科学専攻
東北大学,情報科学研究科,システム情報科学専攻
東北大学,情報科学研究科,情報基礎科学専攻
東北大学,情報科学研究科,人間社会情報科学専攻
東北大学,情報科学研究科,応用情報科学専攻
東北大学,生命科学研究科,分子化学生物学専攻
東北大学,生命科学研究科,生態発生適応科学専攻
東北大学,生命科学研究科,脳生命統御科学専攻
東北大学,農学研究科,生物生産科学専攻
東北大学,農学研究科,農芸化学専攻
東北大学,文学研究科,日本学専攻
