theme_group_name,theme_name
AI・データサイエンス,AI・データサイエンス
AI・データサイエンス,機械学習
AI・データサイエンス,深層学習
AI・データサイエンス,生成AI
AI・データサイエンス,自然言語処理
AI・データサイエンス,コンピュータビジョン
AI・データサイエンス,推薦システム
AI・データサイエンス,グラフ機械学習
AI・データサイエンス,時系列解析
AI・データサイエンス,ML運用（MLOps）
AI・データサイエンス,最適化（ML）
AI・データサイエンス,その他
計算機科学・ソフトウェア,計算機科学・ソフトウェア
計算機科学・ソフトウェア,アルゴリズム
計算機科学・ソフトウェア,計算理論
計算機科学・ソフトウェア,データベース
計算機科学・ソフトウェア,情報検索
計算機科学・ソフトウェア,分散システム
計算機科学・ソフトウェア,オペレーティングシステム
計算機科学・ソフトウェア,プログラミング言語
計算機科学・ソフトウェア,ソフトウェア工学
計算機科学・ソフトウェア,ヒューマンコンピュータ相互作用（HCI）
計算機科学・ソフトウェア,可視化
計算機科学・ソフトウェア,コンピュータグラフィックス
計算機科学・ソフトウェア,その他
セキュリティ・プライバシー,セキュリティ・プライバシー
セキュリティ・プライバシー,暗号
セキュリティ・プライバシー,ネットワークセキュリティ
セキュリティ・プライバシー,セキュアシステム
セキュリティ・プライバシー,プライバシー保護
セキュリティ・プライバシー,認証・認可
セキュリティ・プライバシー,マルウェア解析
セキュリティ・プライバシー,ブロックチェーン
セキュリティ・プライバシー,その他
ネットワーク・通信・信号,ネットワーク・通信・信号
ネットワーク・通信・信号,無線通信
ネットワーク・通信・信号,5G/6G
ネットワーク・通信・信号,光通信
ネットワーク・通信・信号,RF・アンテナ
ネットワーク・通信・信号,信号処理
ネットワーク・通信・信号,音声・音響
ネットワーク・通信・信号,画像信号処理
ネットワーク・通信・信号,レーダ・LiDAR
ネットワーク・通信・信号,衛星通信
ネットワーク・通信・信号,その他
電気電子・半導体,電気電子・半導体
電気電子・半導体,回路
電気電子・半導体,LSI/VLSI
電気電子・半導体,半導体デバイス
電気電子・半導体,パワーエレクトロニクス
電気電子・半導体,組込み
電気電子・半導体,センサ
電気電子・半導体,フォトニクス
電気電子・半導体,その他
制御・システム,制御・システム
制御・システム,制御理論
制御・システム,システム同定
制御・システム,最適制御
制御・システム,モデル予測制御（MPC）
制御・システム,非線形制御
制御・システム,推定・フィルタ
制御・システム,CPS（サイバーフィジカル）
制御・システム,マルチエージェント
制御・システム,その他
ロボティクス・自律システム,ロボティクス・自律システム
ロボティクス・自律システム,ロボティクス一般
ロボティクス・自律システム,マニピュレーション
ロボティクス・自律システム,SLAM
ロボティクス・自律システム,自動運転
ロボティクス・自律システム,ドローン
ロボティクス・自律システム,触覚・ハプティクス
ロボティクス・自律システム,ヒューマンロボットインタラクション（HRI）
ロボティクス・自律システム,メカトロニクス
ロボティクス・自律システム,その他
機械・ものづくり・航空宇宙,機械・ものづくり・航空宇宙
機械・ものづくり・航空宇宙,機械力学
機械・ものづくり・航空宇宙,流体力学
機械・ものづくり・航空宇宙,熱工学
機械・ものづくり・航空宇宙,生産・加工
機械・ものづくり・航空宇宙,CAD/CAM
機械・ものづくり・航空宇宙,トライボロジー
機械・ものづくり・航空宇宙,航空宇宙
機械・ものづくり・航空宇宙,材料力学
機械・ものづくり・航空宇宙,その他
土木・建築・都市,土木・建築・都市
土木・建築・都市,構造工学
土木・建築・都市,地盤工学
土木・建築・都市,交通工学
土木・建築・都市,都市計画
土木・建築・都市,建築環境
土木・建築・都市,防災・減災
土木・建築・都市,建設マネジメント
土木・建築・都市,その他
材料・デバイス・ナノ,材料・デバイス・ナノ
材料・デバイス・ナノ,ナノ材料
材料・デバイス・ナノ,高分子材料
材料・デバイス・ナノ,セラミックス
材料・デバイス・ナノ,金属材料
材料・デバイス・ナノ,複合材料
材料・デバイス・ナノ,薄膜
材料・デバイス・ナノ,表面・界面
材料・デバイス・ナノ,電池材料
材料・デバイス・ナノ,触媒材料
材料・デバイス・ナノ,MEMS/NEMS
材料・デバイス・ナノ,その他
化学・化学工学,化学・化学工学
化学・化学工学,有機化学
化学・化学工学,無機化学
化学・化学工学,物理化学
化学・化学工学,分析化学
化学・化学工学,高分子化学
化学・化学工学,触媒
化学・化学工学,化学プロセス（反応・分離）
化学・化学工学,計算化学
化学・化学工学,その他
物理・宇宙,物理・宇宙
物理・宇宙,物性物理
物理・宇宙,量子物理
物理・宇宙,量子情報
物理・宇宙,素粒子物理
物理・宇宙,原子核物理
物理・宇宙,光学
物理・宇宙,プラズマ
物理・宇宙,天文学
物理・宇宙,その他
数学・統計,数学・統計
数学・統計,純粋数学
数学・統計,応用数学
数学・統計,確率論
数学・統計,統計学
数学・統計,ベイズ統計
数学・統計,確率過程
数学・統計,最適化理論
数学・統計,その他
地球・環境・気候,地球・環境・気候
地球・環境・気候,気候科学
地球・環境・気候,大気科学
地球・環境・気候,海洋学
地球・環境・気候,地質学
地球・環境・気候,地球物理
地球・環境・気候,水文学
地球・環境・気候,生態学
地球・環境・気候,環境浄化
地球・環境・気候,その他
エネルギー・資源,エネルギー・資源
エネルギー・資源,再生可能エネルギー
エネルギー・資源,太陽光
エネルギー・資源,風力
エネルギー・資源,水素
エネルギー・資源,原子力（エネルギー）
エネルギー・資源,蓄電・蓄エネ
エネルギー・資源,スマートグリッド
エネルギー・資源,CCUS
エネルギー・資源,その他
生命科学・バイオ,生命科学・バイオ
生命科学・バイオ,分子生物学
生命科学・バイオ,遺伝学
生命科学・バイオ,細胞生物学
生命科学・バイオ,微生物学
生命科学・バイオ,免疫学
生命科学・バイオ,発生生物学
生命科学・バイオ,植物科学
生命科学・バイオ,バイオインフォマティクス
生命科学・バイオ,合成生物学
生命科学・バイオ,システム生物学
生命科学・バイオ,その他
医学・公衆衛生・薬学,医学・公衆衛生・薬学
医学・公衆衛生・薬学,公衆衛生
医学・公衆衛生・薬学,疫学
医学・公衆衛生・薬学,感染症
医学・公衆衛生・薬学,がん
医学・公衆衛生・薬学,創薬
医学・公衆衛生・薬学,薬理
医学・公衆衛生・薬学,臨床研究
医学・公衆衛生・薬学,医療政策
医学・公衆衛生・薬学,医療機器
医学・公衆衛生・薬学,その他
農学・食品,農学・食品
農学・食品,作物科学
農学・食品,畜産学
農学・食品,食品科学
農学・食品,発酵
農学・食品,栄養
農学・食品,アグリテック
農学・食品,水産
農学・食品,森林
農学・食品,その他
経済学・計量,経済学・計量
経済学・計量,ミクロ経済
経済学・計量,マクロ経済
経済学・計量,国際経済
経済学・計量,開発経済
経済学・計量,労働経済
経済学・計量,産業組織
経済学・計量,公共経済
経済学・計量,計量経済
経済学・計量,環境経済
経済学・計量,医療経済
経済学・計量,その他
金融・会計・フィンテック,金融・会計・フィンテック
金融・会計・フィンテック,資産価格
金融・会計・フィンテック,コーポレートファイナンス
金融・会計・フィンテック,銀行・金融機関
金融・会計・フィンテック,フィンテック
金融・会計・フィンテック,リスク管理
金融・会計・フィンテック,会計
金融・会計・フィンテック,行動ファイナンス
金融・会計・フィンテック,その他
経営・マーケ・イノベ,経営・マーケ・イノベ
経営・マーケ・イノベ,戦略
経営・マーケ・イノベ,マーケティング
経営・マーケ・イノベ,起業・起業家
経営・マーケ・イノベ,イノベーション（技術経営）
経営・マーケ・イノベ,オペレーション
経営・マーケ・イノベ,組織論
経営・マーケ・イノベ,サプライチェーン
経営・マーケ・イノベ,ビジネス分析
経営・マーケ・イノベ,その他
政策・法・国際関係,政策・法・国際関係
政策・法・国際関係,公共政策
政策・法・国際関係,規制
政策・法・国際関係,知財（IP）
政策・法・国際関係,プライバシー法
政策・法・国際関係,労働法
政策・法・国際関係,国際関係（IR）
政策・法・国際関係,ガバナンス
政策・法・国際関係,科学技術政策
政策・法・国際関係,その他
社会・人文,社会・人文
社会・人文,社会学
社会・人文,文化人類学
社会・人文,教育学
社会・人文,言語学
社会・人文,文学
社会・人文,歴史学
社会・人文,哲学・倫理
社会・人文,文化研究
社会・人文,その他
語学・アカデミックスキル,語学・アカデミックスキル
語学・アカデミックスキル,TOEIC
語学・アカデミックスキル,TOEFL
語学・アカデミックスキル,IELTS
語学・アカデミックスキル,アカデミックライティング
語学・アカデミックスキル,プレゼン
語学・アカデミックスキル,研究計画書
語学・アカデミックスキル,リーディング
語学・アカデミックスキル,その他
研究手法（横串）,研究手法（横串）
研究手法（横串）,実験設計
研究手法（横串）,調査（サーベイ）
研究手法（横串）,定性研究
研究手法（横串）,フィールドワーク
研究手法（横串）,シミュレーション
研究手法（横串）,因果推論
研究手法（横串）,メタ分析
研究手法（横串）,再現性・研究倫理
研究手法（横串）,その他